comments,likes
"Who is actually listening to these two idiots…I can’t stand either of them. I cannot believe how much they get paid for doing nothing. There are surgeons and nurses and rescue workers etc who actually save lives and can’t even fathom earning that much … See more There podcast is ranked No 1 in Australia by a country mile .. So you must be listening to them Good luck with that……nobody is worth that salary	especially those 2. Anyway if the sponsors get a return on investment to pay that salary	 well ?????????? Think about it Yayay love it anything that can get rid of them is great	 (kylie is an over paid	 dummy spitting wanka)	 especially in favour of loz	 Jase and Clint yay team bring it xxxx	 love you guys haven't listened to kiss since and I listened to kiss for years They're not worth $10	 but all power to them if they can con 10 million out of a radio network to convince them they'll make it in Melbourne.I'm amazed they're on the airwaves Can anyone justify their $10m a year salaries??? What are they contributing that is so life changing for the community??? F me! The pre show marketing campaign in Melb for Kyle and Jackie O misfired.  All on the other programs	 same station was  “all the marketing money is going to the Sydney people so we are doing bin stickers “. It was shocker. How ridiculous not well earned at all Why am I not surprised that they are not doing well in Melbourne. Please go back to Sydney you two. That was the worst decision you made. We don’t won’t bullies in Melbourne. How did they convince anyone? Thats because they are crap	 Melbourne radio stations have class and integrity. What do these two have ? Not a fan of Kyle never have can’t deal with his arrogance - I’d rather listen to soap opera 24/7 than his irritating voice Failure on management for not doing appropriate due diligence on their fit  for the Melbourne market! Great to see! Hope their ratings take even more of a dive. A great big buffoon 3AW is the best to listen too  Ross and Russel in the morning 	 Tom Elliot 	have our radio on all day I would love to be a fly on the wall when Kyle found out	 and how he reacted",4
"Fifi	 Fev & Nick are the best! Cannot even compete! Goodluck Kyle and Jackie O 	 you’ll need it Why do they have convince people in Melbourne contracts signed good luck to them if they can neg a deal like that Not Melbourne people we only want Melbourne people on our Radio Sounds like Melbourne I don’t know a single person who’s ever liked them. I can’t believe they’re still going	 especially that toad Kyle They’re definitely not worth that. I’d rather pay them $10M to not speak Come on - sitting behind a microphone and making disparaging comments about just about anyone and everything is worth every cent - of about 10 bucks Cannot stand Kyle. What a Can we please get rid of them… go back to Sydney I wouldn't contaminate my radio with those two! It's already bad enough with useless	 overhyped presenters as it is. Oh how I yearn for the old days when there was genuine entertainment. nobody and i mean NOBODY is worth that disgusting amount of money. they do less than the average worker working their butts off to take home a pittance They are $30 grand a year people 	 the rest evenly spread to those who despise them and everything they stand for. Give me Gold Fm any day of the week Can’t stand these Sydney idiots trying to take over OUR air waves I used to like them but I can’t stand Kyle anymore he so arrogant!! I'd rather sit in silence driving home",6
"How is talking on a radio station a few hours a day Monday-Friday worth that much? That’s what is wrong with the world. People like this get paid insane amount and people who actually risk their lives and make an impact don’t receive anything remotely close to that. Who are the people that voted these two in?! I’d really like to know…. 10 weeks of rating from ever other station compared to 3 for them. Really great reporting Detest Kyle. He's a snake in the grass That's totally disgusting the amount of money they get . Could have told them that before they hired these 2.  I for one would never listen to Kyle. Don't know what time they are on	 I listen to 3AW. who have won all ratings for years. Ross & Russell. No surprise there. Melbourne will never embrace a Sydney based radio breakfast program no matter who they are. No one is worth that much. Charity’s need this money more Well done Melbourne These 2 clowns think they’re worth 10mil? lol I’ve seen funnier jokes come from toilet paper. If you guys want real ratings	 give us a call. I still don’t get why it takes more than 1 announcer to play music. 10 million a year? Wtf	 the amount of adds required to try and recoup that on radio waves	 must be incredible. Jas and Lauren are so much better to listen to than the other shows 	 Kyle sanders is an arrogant bully 	 Jackie O is the definition of a Dumb Blonde ( along with FiFi box) and Fev is just dumb (too many hits to the head from his AFL days) it’s almost … See more I actually prefer alot of the old school music etc from other radio stations more so now. Too much talking and not enough good music I say Kyle is a flog not worth that kind of money Good they can stay in Sydney All good they just need to air Jase and Lauren in Sydney Great! Maybe they will go back to Sydney! Of course they’re not great.  Kiss should never have changed from Jas & Lauren to Kyle & Jackie.  I’ll not listen to 101.1 again I’d rather give it to the boys from NZ - The Morning Shift!!! They’re hilarious!!!",4
"Have not listened to Radio for years by the looks of it nothing's improved since either and 10 million pay wow guys milk it while it's there I spose can't really see the value of that in what you do lol well the World's a funny ol place indeed ....shake my head They are the best I listen to them every morning Kyle and Jackie O are so old and washed up. Not remotely funny or interesting. The radio station should give their slot to Toni and Ryan and move on. Just moved to Melbourne and jeeze...soo many radio stations with people yabbering on all the time. Where are the rock/metal stations at?? Lowbrow stuff like Starbucks	 Big Wheels & Shock Jocks belong in Sydney They should pay us that amount to listen to there crap and even then it would be painful Could have told you that before they disgraced our airwaves... Wait people still listen to the radio ? That’s because we love Melbourne Sydney radio is so different help . They assumed and thought  Melbournians are same as Sydney people. Too bad Still number 1 in Sydney.. go Kyle and Jackie O With so many haters don’t go to their giveaways or ask for the give back then how boring abc radio  sounds super exciting NOT Ten million a year??? R U Serious? Is that each or between them? Dear God its a morning radio show. Who cares when we got Spotify listen to whatever we want I LOVE THEM... TEAM KYLE & JACKIE O Sydney can keep 'em! Get them off our Melbourne radios! I do not know why they are paid this amount of money for the disgusting topics they talk about !!! I could not believe that they are allowed to talk about what they do and what others do very privately!!!!! It was disgusting! Those topics are NOT suita… See more This is great to hear! Thank you Melbourne for having good taste. I used to love tuning in at 6pm to listen to them but not for breakfast radio though… I think that they do not belong there. So I find myself finding Jase & Lauren in the mornings and the. back to Kyle & Jackie O on the encore show at 6pm Dumb and Dumber No place here in Melbourne The idiot needs a good old slap	 and never be allowed on radio ever again I barely notice them. Took that only one time to listen to them two and they're both flops Kyle is an idiot. I can’t stand him There is something in the world when people are paid $10 million just be obnoxious. I wouldn’t cross the road to see or hear Kyle. Think he’s quite loathsome. I can’t stand these two nothing but gutter talk even in the promos so a big turn off from me Good! That's what happens when they boot Jase and Lauren and not ask Melbourne what they want!! Nova all the way now!!! Stick to who knows Melbourne & it’s not them That is the most accurate thing to come out of the daily mail	 ever. “….and they're not great.” Never a truer word was spoken. No kidding! Anyone could have predicted that Thank goodness	 Victorians have more sense than listen to these two. Dumb strategy. Too much interstate rivalry for this to ever work! Disgusting. Go to uni and get a real job. The world is fcking so wrong 10mil to talk garbage on a radio show No body wanted them to take over - this was inevitable Don't like them at all wouldn't listen at all that's my opinion others might disagree . No one is worth that sort of money for doing their job. Most people wouldn’t earn that in a lifetime of working Always knew Melbourne had taste Yeah they not even worth ten bucks let alone 10 mil........two of the worst radio personalities this country has ever produced n somehow the people paying them n pushing them to be on every states radio shows obviously has no idea n don't realise the o… See more The worst of the industry They are terrible. Where are Fifi Fev and Byron?? They’re in Melbourne????",3
"You're not worth one million a year wtf Never were and never will be worth that much Jackie is just a prop Kyle's unhealthy	 inappropriate and out of date humour was going to wear off eventually. The only shame is that it wasn't sooner rather than later What a joke. Definitely not worth $1mil How/why have that pair ever justified the salary they're paid. Utter rubbish. That Kyle is a flog. They would have to pay me to listen to their pathetic vitriol.",3
"I cant stand them	 Jase and Lauren are so much better Yeah and Jacki was about to get fired over 200	0 Hope Jase and Lauren keep growing there ratings and whoop these 2 out of Melbourne Has beens time to move on $10mill a year?! What the actual F?!",2
"Certainly aren't worth anything like 10 million. Kyle really gaslights these radio show execs that he is worth money They are so cringe	 especially Kyle gross So	 they’ve got a great management company. Kyle is a misogynist. Can't stand him and he talks for far too long about stupid stuff. Jackie O just goes along with his BS. Get rid of them I would rather listen to crying babies than these two pretentious fools I don't listen to radio. Solves that issue. Worst people to listen to Good!  Well done Melbs Waste of dead air !!!!! Melbourne must have some intelligent people. Cash grab these 2 flogs That talk about sexual remarks on radio 10 Million well spent on these 2 clowns that wanna have a naked dating live on radio Wouldn’t pay them $1.80 They are filth - full stop! Who cares what Melbourne thinks I started listening from Perth at Xmas but already seems the same old stories I don't even live there and I still prefer the other two that were on Let’s pay double to get Hamish and Andy back The Christian O'Connor Show with Jack and Pats is still better than any other morning radio!!! No one is worth that salary ever. Nova is far better! Don’t know how Fitzy and Wippa aren’t number 1 Kyle	 the most arrogant	 ignorant	  narcissist	  pathetic human being	 why is he still alive? Absolute brain rot listening to these two If they get paid that much then why are they not helping the homeless	 as on tonight talking about housing. Help instead of talking about it!	 could do alot with a few mil I find their show cringe worthy. So I don’t listen to anything they are on. How could you think of paying for that crap But their material is so good …. It was obvious from the start. Absurd amount of money to pay anyone let alone them! Whatever is wrong with the world! Is anyone worth this amount.	really Can’t stand them. Switched back to NOVA. Does radio still operate? They take every opportunity to take conversations into the gutter. Not OK for breakfast radio or with kids in the car. Jase and Lauren are kinda naff	 but they're funny and relatable. I'll do the show for half a mil a year  and I'm in Melbourne Would not listen to them. What a joke 10 million and there are people out there struggling Not even worth 10 grand Maybe people should read the article first I liked Kylie and Jackie O when I was in Sydney but have loved Jase and Lauren for a while now so I like many other ms have followed them to their new home Nova KIIS stuffed up shuda Left Lauren Jase an Clint where they were Now it looks like we’ve followed them to Nova The conversations they have in the morning are discusting especially if you have kids in the car let alone hearing myself as an adult. Jase and Lauren are so good and funny. Glad the got a shot again on a different station. Vile Kyle and Jackie Oh no	 pfft	 not worth $2 triple j  educated humans	 younger than these two	 discussing actual issues in the world. Not just who’s hooking up with who from mafs last season…. I haven't listened to commercial radio in years	 same with watching commercial tv!! They pushed out other amazing radio hosts to make way for these Sydney crackers. He'll still think he's better than he is how do they justify that kind of money? No one is worth that much money a year.  Drs	 Nurses	 Teachers and police are worth much  more  than they are paid and deserve it more than these people. Neither was Dopey Dan but they gave him a job Disgusting man and Jackie gets brought down to his level If you wanna hear good radio you have to stream the NZ radio stations	  the ones in aus are crap Never have enjoyed listening to these 2 very surprised at their popularity though $10m salaries wtf for what and why  who gave them that?? I cant stand either of them asn so9n as I hear one word from their mouths i changthestation The ratings aren’t great And neither are Kyle and Jackie O The things that Kyle and Jackie O talk about make me cringe. I'm a Nova listener now that Jase and Lauren are back Insane amount of money And people are living in tents Good  ego’s will be dented Melbourne resident here… I had never heard of Jase and Lauren until they landed at Nova	 but I have been enjoying their morning banter on the drive to work. I’ve never heard a moment of Kyle and Jackie-O’s show (unless it’s a clip on Fb that pops up) a… See more Tom Eliot in morn then sen all day n night Everyone listens to spotify they arent worth any money let alone 10mil Totally agree with them.  I change  to Amazon music or Spotify. People just want music not talking on radio stations. unless they want to stream it. Personal preference. They aren’t worth that much money to hear them speak - think of what could be done to help Australians in need with their salary. Ridiculous Can’t stand either of them It must be the new smart state Just listen to 2UE.Great music all day and not having to listen to these idiots I will never listen to their show. Who realistically is worth that amount of cash?? Not worth $10 together Can't stand them ""NSW says """"Hey Melbourne, no backsies . . ."""""" What a crock. Definitely  much better out there and at half their price tag Really who is worth that much honestly! Well this was to be expected lmao Big mistake! Jase was the best! They’re too low brow for Melbourne !! They were once good….back in the early 90’s.  Ego taken over	 just not nice people anymore. Maybe do the Saturday top hit charts again??? They will blame and denigrate Melbourne and Melbournians for not being up to Sydney's standards when they get sacked no doubt. Expensive lesson Kiis Hahaha too soon? I stopped listening to Kiss when they pulled that crap. Kyle is a loser and I enjoyed listening to Jace and Lauren Don't see how someone get 10 Million in a year  don't  care how good thay are  just taking on radio the advantage person wouldn't get that in a lifetime no way there that  amount He Is Absolutely Disgusting. Good take your gazillions and head back to Sydney Honestly I would rather listen to the emergency broadcast system or just static than listen to either of them speak I’m in Melbourne and when I flick to a new radio station and hear them I get the hell out! I don’t know how radio station can even pay them that much They are pathetic these two..hot air no substance Yeah swap stations as soon as I heard Kyle and Jackie were taking over Not worth even 1% of that. I jumped to Nova as well I just always feel good listening to Jase and Lauren Who gives a flying...... Critens Would you listen to the opinion of people who have held the same job since the late 90’s? Tuned in the other day by accident and Kyle were talking about how he couldn't get into a high end designer store...like that's a problem we all have SMH...and Jackie agrees and says something about Gucci brand is tacky? They are not relatable at all! No-one is worth a $10m a year salary.  That is obscene. Because Melbonians have more taste than to listen to them waffling on Who remembers in the 80's when Ch7 ran news for Melbourne out of Sydney? From memory Ch7 news was beaten by Inspector Gadget on the ABC in the same timeslot. Will they never learn every town/state wants it's own voice? Martin Molloy back in the day were much funnier. Kyle and Jackie O are forced humour. Read the actual article. Ratings period wasn't a direct comparison. Jog on No one likes Kyle in Melbourne Nobody is worth that much money....egotistical air heads.... They're a disgrace They are becoming very predictable. People are choosing podcasts over radio unless you’re a boomer. Jase was sooo much better. Effortlessly funny. Why listen to them - better things  to do- rarely listen to any radio thesss ex days- both last ever listen to- dislike his attitudes- don’t watch him in any tv shows either as too smug 	 conceited - could go on - as for her - mmmm - keep them in Sydney Who the hell are these people? keep at it kyle and jacky it will happen Melbournians  understand  Melbournians . Jason and Lauren great combination. Such a shame radio hierarchy don’t know their audience! . I dumped Kiss and followed Jase	 Lauren and Clint over to Nova. Great station to listen to… not just in the mornings That’s bc they’re not worth the money. What a ridiculous amount for two people. It’s gross. People believe everything they read. We're smarter than that we don't listen to them we don't even know what station they're really on if it's real or fake I always listen to 101.1 but not since these 2 have taken over Who listens to the radio. Big mistake on the radios part…. Christian	 Jack and Pats all the way…..Gold 104.3 The way society allocates money is upside down and inside out. There not worth it. Unbelievable. That’s a joke! They’re not even worth $1M. Even John Blackman didn't appreciate them	 wake up Australia and get rid of them Get them off breakfast radio please	 I immediately have to change the station because it's mostly always inappropriate and toxic content while we have the kids in the car. Melbourne thinking  Return to Send please and thank you These stations lost me when they did the prank on that UK nurse during Kate’s pregnancy and and she committed suicide from the humiliation. They should be in goal for manslaughter I don't know anybody that listens to them. If it happened by accident in the car switching stations Both Flogs rather listen to Jason & Lauren any day of the week!!! I hope with everything I have that Jase and Loren kick them off there pearch The fact that anybody would be in the slightest bit interested in anything these massive bogans have to say is super cringe. Aussies supporting these two is like Americans supporting Trump…embarrassing",2
"I personally don’t listen to their show	 but if Melbourne people don’t like it	 maybe I should be They are the worst . Kyle Sunderland is a disgusting	 misogynistic	  narcissistic	 bottom dwelling pos and it's unfathomable how he's become a celebrity. The fact that he's had his own radio show tells us everything about how prehistoric and contam… See more",4
"I fail to see how they are work $10 million in the first place Don't understand why their salaries are that high... I can’t stand Kyle 	 putrid nonsense	 shocking radio rubbish 	 pathetic show off 	 a joke 	 no respect or meaningful conversations	 raving on about his criminal best mate 	 give me a break 	 just disappear!! Who listens to this crap? And why? IF you do your just as crazy as them and make them have salaries of $10million that's absurd! I followed Jase and Lauren to Nova	 could not stand Kyle and Jackie",6
"Bringing broadcasters from interstate bever works......That's $10m down the drain Who do they think they are???? Have never been able to stand him no ones worth that a year especially those to dimwits Best news ever. Good on you Jase and Lauren	 keep up the great work. More music less hearing radio voices in general Worst radio show on earth They were on for 3/10 weeks of the ratings period. Pretty deceptive reporting. Hey tho what do you expect from the tabloids About time people took notice and realise they need to go they think the whole world revolves and them . How do you warrant that kind of money for 36 minutes of adds every hour  ??? Both have been over paid	 over-rated hacks for a long time. Can someone please explain these two vile and obnoxious people. They are not funny 	 have nothing to add to society	in the top 10 horrible people list they are at the top Jade & Lauren and Melbourne royalty! And they’ve got my loyalty! This is evidence that Melbournians are more discerning What a joke. 10 mil are year!!! Revolting people Hahaha did they really think they were gonna come to Melbourne and beat christian and the crew Unfortunately caught their show last Thursday night about 7.30pm	 absolute vomit inducing filth. I could have told you that. Kyle is a flog no matter what city he is in. Go back to Sydney. The radio company has paid a lot of money to purchase the sludge at the bottom of the barrel! They are not even worth .01cent a year.. That’s because Fifi	 Fev and Nick are better	 their show is wholesome well congrats oh the tax they pay realy i dont care I might move to Melbourne! I have no idea why people in Sydney think they're worth. Kyle is revolting! If anyone in a real workplace says what he does they'd be SACKED",3
"How anyone could like that kn*bhead is beyond me..$10mill is a bloody joke. Oh - are they on radio?? Leave them in Melbourne Yeah	 every-time the radio boffins think they can save money by doing this the people vote with their ears. Arrogant Sydneysiders coming to Melbourne radio thinking we will fall in love with their trashy show. $10 million to talk crap	 Nice . The world has gone nuts Some ppl can’t  even afford to buy groceries for their families you could literally just fire every single person who speaks on radio in any way and you'd have a HUGE improvement to the radio station. The Christian O’Connell show is FAR FAR BETTER THAN THESE TWO IDIOTS. When are these radio stations going to learn we are Melbourne not Sydney. cant stand Kyle don't deserve $10 a year	 boring af Can't be much worse than 3AW Not for 10 mill  a year  that's laughable not even 1 mill a year I haven’t listened to the radio for YEARS! I would turn it on in the morning taking the kids to school and it was vile! They're not worth it! I have switched channels because their radio content is not suitable for morning drives to school with kids in the car. They need to stick to night shows",3
They are not worth that money no wonder advertising on Radio is so dear Love how loyal Melbourne is This is the very reason I gave up listening to the radio. Great news! Good they are the worst and I hope kiss fm struggle Sydney crap doesn’t fly in Melbourne.,5
"Well done Loz and Jase your the best for sure They are a joke embarrassing actually Jase and Lauren way better they are awesome. It would have to be a very cold and  lonely wet day before I listen them.. No one is worth $10mil. Homeless	 sick chn	 famillies loosing their homes ....really $10mil salary. Then start to cut those wretched pollies wages we all pay for ! Don’t listen to them. Things he says are pretty gross Don’t like the way they run the radio it’s boring can’t listen to them  I have changed radio listening to the Fox. bring back Jase and Lauren  they were great loved listening to them on the way to work in the morning Are you kidding… 10 mil for these pair We’re much more sophisticated I have to instantly turn them off when they come on	 it’s bloody cringe. So what stay in Sydney we love you What  makes any person think they are worth 10million Good. I don't and won't listen to them. I love our own home grown. Because they’re not worth it. I miss Jade and Lauren in the mornings. Kyle and Jackie are to vulgar for morning radio They are not worth $2 and never have been? Put Jase and Lauren on our radios any day...they are both down to earth!! I am glad Jase’s show does well Crikey that means some Vic's can actually think That's because they're not!! Melbourne has more class Well	 to be fair	 their mics were on. Never liked either of them I think people in certain areas need to adjust their thinking to what’s important and what is fair and reasonable value. This certainly is not",2
"Never will I willingly listen to any radio station or watch free to broadcast tv Would never listen to Kyle No one is worth that much I listened out of curiosity today and it was embarrassingly bad millions for garbage... got to laff Fifi fev and nick blow these guys out the water	 give them the 10mill I am in Sydney and I can't even comprehend listening to any of this mind vomit. Kyle & Jackie who??? Never heard (of) them - thankfully! Sydney and Melbs radio is so different. That's because they aren't 100k is pushing it Hopefully Kyle and JO are off the airwaves soon Go back to Sydney Vile & Tacky O  = Vomit radio They're both flops I don’t understand why Jason and Lauren left I love them There not worth a million Personally I think Chase Lauren& Clint are the best!! They're awful	 both their shows are just dull and the same old shjt I've actually moved to nova for my morning radio	 so good to have Jase	Lauren and Clint  still Can't beat Christian on Gold Moved to Nova 100 as soon as Jase and Lauren were on the air	 all is right in the world again I personally think they’re crass! Love Jase and Lauren Highly operated cant stand them Not everyone Enjoys Sydney Characters Can’t stand Kyle Take ABC radio any day. Commercial radio is drivel. Triple M gippsland all the way They are on the way out and deservedly	 not funny for listeners and really boring He’s a dirty mouthed grub I guess it’s an age thing but who are they? Only good thing about them coming is Nova picking up Jase and Lauren. Nova audience scored!",7
"I don't find the big deal about them Pro because that Kyle is a complete idiot Please go back to Sydney we don’t want you. Would not listen if you paid me I’d never listen to him. Awful man They certainly aren’t! He is such an arrogant man. Somebody’s got far too much money if they given those idiots 10 million Go back where you came from Good  and hopefully goodbye 120k sounds about right Who still listens to radio? kyle and jackie o are just a wannabe howard stern show Melbourne are too smart for their juvenile antics Too crass. That’s because they’re not Clare Southwell no one is even close to being as amazing at Jase & Lauren Jase	 Lauren and Clint. Good! Jase and Lauren should have never been been replaced. Don't want to toot my horn but i could do a better job with duck tape over my mouth lmao    get rid of them..... Hmm let’s see: first thing in my day - meanness and nastiness or kindness and light n Gold104.3? They are both vulgar Writing was in the wall 10 mil. Are you high?! Who are these people Melbourne has always been more classy than Sydney and I come from NSW. Just a better taste. 10 million is outrageous give half to the homeless. Never liked them	 they are cheap entertainment	 they are bullies Crappiest radio ever with these two goons. No one is worth that much money per year Thought it was a stupid idea They are AWFUL What idiot gave that them the contract They are the reason I now listen to Spotify. It’s a bad rap for Sydney lol 	 they even aired a replay the other week as Kyle was mia …. And guessing kiss thinks Jackie o can’t do the show for a day by herself.. Melbourne resident Who got sick To listen to their show for about 5 mins as  my Sydney sider passenger asked fo… See more That's because they aren't worth that at all. They are actually worthless. Especially kyle the grub Should have been Jase and Jackie-o Bella Patman this comment section has restored my faith in humanity xx I wouldn't have thought they'd even be worth $10!! Melbourne obviously has more class than Sydney. Failed to Convince me. People only listen to them because they give away lots of money - prefer Jason and Lauren and Nova They aren’t worth $10. Jase and Lauren for ever funny watching Kyle and Jaquie fail they deserve it When I listen to radio it’s to hear music. I don’t understand how any of these radio presenters keep their jobs; all they do is talk (rubbish) and not play music",2
"Get Jackie o to show more cleavage	 that makes for good radio I wouldn’t pay them $10 a year. Um. Let's bump that down a couple of zeros WHO????? not so popular in Melbourne Prefer kyle and Jakie O over Jase and Lauren any day. Hate alauren always body shaming Jase Little more taste in Melbourne Can’t stand these 2 people Get rid of Kyle and the rating will improve Why is Kyle still on radio  dudes a flop Jase Lauren and Clint were so great Maybe if kyle would punch as much coke as jaqui he might lose some weight $10 million a year? All the people struggling to make ends meet with the inflation and rent increases	 working jobs that actually matter and these 2 are making $10 million a year?",3
"I can do the job for $1	0	0 Paying that salary for a part time job with no stress at all! What a joke. The world has gone mad. Noone is worth that sort of money. Kyle and Jackie O not what I expected	 a bit vulgar… back to Nova Jase and Lauren They talk too much! More music that's what we want! Welcome to Melbourne You don't change what was working I would not listen to these 2 And the old.folk on wsfm killing it Me. Melbourne people are are different breed to Sydney they both make my skin crawl Makes me sick how they speak... Talk about full on inappropriate stuff... I listened to it this morning and couldn't believe it's allowed... Come on Should NEVER have changed. We have moved over to NOVA for Jase n Lauren And now they get more publicity Both are so full of themselves Ridiculous..... very sad couple of people who think other wise about themselves I’m Spotify all the way now. Kyle has changed but spots are spots. Obviously we have more taste here in Vic. $10 million a year? Areyou kidding me I didn’t even think they’re worth $1 million a year. Their has beens! Time to move on and quit while they’re ahead! fouk back to sydney I don’t think they’re worth $1000 dollars a year. Total pants! Fifi fev and Nick all the way!!! That because they are not worth that much. Makes me laugh you cant even see his ears Good to see Melbournians have good taste Nobody is worth that much per annum Ratings are in and kyle and Jackie failed to convince Melbourne their worth $1 dollar and i couldn’t agree more.They are the most over rated pair on Television in my opinion.kyle being a judge on a talent show when he has no talent at all what absolute rubbish.",2
"Used by date long passed I’m dedicated TripleM	 so no chance of me listening to those two dribble on. Awful presenters and not in the slightest funny Not suitable for morning radio especially with kids in the car. EASY…THERE NOT FROM MELBOURNE Was never going to work from the start . Fifi 	fev and nick all the way . Suffer. Jase and Lauren for ever Of course. Jase and Lauren are more relatable. Worst mistake kiis made. They are on late here in SA and so glad  I'd hate driving to work having to hear these 2 They are absolutely not even worth it $10 Nova 100 Jason and Lauren are THE BEST!",3
"Yer	 they're like the Starbucks of radio. Who needs them when we've got better in Melb than a watered down wash-up dishwater!! Send them back to the convict state!!",2
"How much? Definitely not worth it. They are not suited for breakfast radio. School drop off time when kids are in the car. They’re chats are not child friendly I honestly don't understand how they get paid so much... who is funding it? Can’t understand why anyone likes what these two produce which is absolute crap Not for us in Melbourne…time to go Who'd listen to that creep Jase & Lauren are on Nova. Follow them over	 I have	 so have many others who want to listen to breakfast radio and not the inappropriate	 self obsessed bullshirt these two spout. Can't stand either of them! Radio is for cars made in the late 90’s… Even my work place streams music all day.. I don’t care that they are from Sydney. I don’t care where they come from. What I do care about is what I listen to and they just spew out garbage. Radio goes OFF or I change channels when they come on.",2
Tbh I don't understand their hype. Jase n Lauren all the way Shows what good taste us Melburnians have I drive my kids to school and hearing them and the way they talk with little ears in the car is not ok. Hence why 101.9 is what is listen to.,3
"Proves class is better than these two!! Regional taste. He’s a little overweight! Obscene amount of money! Have never listened and never will Couldn’t pay me enough to listen to them. And to be paid that much to be a radio host is absurd when they are nothing but vile. Nova all the way for me thanks Who frigging cares What great news How are they still around  they’ve been gross for years They’re terrible their worth northing Melbounians have more taste than Sydneysiders	 who’s have known Lauren and Jason all the way. Love listening to you guys in the morning How are they still relevant?",5
Wouldn't listen to them if you paid me Maybe they should stop talking about vile disgusting things during drop off.,4
